,experiment,val,val_cv1,val_cv2,val_cv3,val_cvall,test,time
0,RandomForestClassifier_df_text_map_idea_max_m2m_emb_split,1.0,0.4634,0.5366,0.5447,0.5149,0.5161,1.0027241706848145
1,RandomForestClassifier_df_text_map_idea_max_m2m_tok_split,1.0,0.4309,0.5122,0.4715,0.4715,0.4409,1.4184002876281738
2,RandomForestClassifier_df_text_map_idea_max_m2m_split,1.0,0.4715,0.5366,0.5691,0.5257,0.5054,1.0495128631591797
3,RandomForestClassifier_df_text_map_idea_max_bert_emb_split,1.0,0.4797,0.561,0.5447,0.5285,0.3978,1.0080316066741943
4,RandomForestClassifier_df_text_map_idea_max_bert_tok_split,1.0,0.4228,0.5285,0.4553,0.4688,0.4516,0.6958990097045898
5,RandomForestClassifier_df_text_map_idea_max_bert_split,1.0,0.4797,0.561,0.5122,0.5176,0.4516,0.9369144439697266
6,RandomForestClassifier_df_text_map_idea_max_bert_en_emb_split,1.0,0.4553,0.561,0.5528,0.523,0.4839,0.9180641174316406
7,RandomForestClassifier_df_text_map_idea_max_bert_en_tok_split,1.0,0.4634,0.4797,0.4634,0.4688,0.3978,0.7064459323883057
8,RandomForestClassifier_df_text_map_idea_max_bert_en_split,1.0,0.4878,0.5772,0.5285,0.5312,0.4301,0.9418582916259766
